,accepted_title,education_sum,a_mean
4597,Athletes and Sports Competitors,301.0,259750.0
3284,Family Medicine Physicians,437.0,256830.0
3056,"Airline Pilots, Copilots, and Flight Engineers",463.0,280570.0
3009,"Agents and Business Managers of Artists, Performers, and Athletes",470.0,165600.0
2899,"Ophthalmologists, Except Pediatric",487.0,301500.0
2888,Petroleum Engineers,488.0,153560.0
2530,Purchasing Managers,532.0,150630.0
2326,Financial Managers,551.0,180470.0
2290,Computer and Information Systems Managers,555.0,187990.0
2218,Sales Managers,567.0,160930.0
2111,Computer and Information Research Scientists,585.0,152310.0
1967,Human Resources Managers,605.0,160480.0
1787,Personal Financial Advisors,623.0,160210.0
1667,Compensation and Benefits Managers,638.0,156230.0
1475,Marketing Managers,668.0,171520.0
1355,Computer Hardware Engineers,704.0,156770.0
1247,Chief Executives,724.0,262930.0
1187,Architectural and Engineering Managers,744.0,175710.0
828,Natural Sciences Managers,853.0,173500.0
576,Nurse Anesthetists,974.0,231700.0
528,"Dentists, General",999.0,196100.0
348,Radiologists,1067.0,359820.0
300,Dermatologists,1072.0,347810.0
288,Orthodontists,1073.0,254620.0
264,Lawyers,1077.0,182760.0
156,Physicists,1104.0,166000.0
132,Podiatrists,1112.0,163960.0
108,Neurologists,1128.0,286310.0
96,Psychiatrists,1138.0,269120.0
84,Prosthodontists,1138.0,258660.0
72,"Physicians, Pathologists",1141.0,266020.0
60,General Internal Medicine Physicians,1153.0,262710.0
48,Emergency Medicine Physicians,1159.0,320700.0
36,Anesthesiologists,1161.0,336640.0
24,Oral and Maxillofacial Surgeons,1164.0,360240.0
12,Obstetricians and Gynecologists,1171.0,281130.0
0,"Pediatricians, General",1177.0,222340.0
